user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,risk_score_1,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,risk_score_2,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,risk_score_3,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,risk_score_4,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,risk_score_5,total_risk_score,potential_threat
AAF0535,2.232258064516129,2010-01-05 11:45:35,0.0,4.0,1.0,13.0,0.08387096774193549,0.0,2.962962962962963,189,0.3329177057356609,0.7583333333333333,0,0.49583333333333335,0.4,357.0,112.0,3.1875,228.0,3.0,23.0,68.0,23.0,12.0,0.0,0.6000000000000001,27.333333333333332,1.1428571428571428,8.0,14.666666666666666,0.0,0.0,8.976829268055555,17.018699186944446,0.12526063055555556,0.0,0.0,0.0,0.0,1.0,False
AAM0658,1.4,2010-10-21 00:22:06,6.0,1.0,1.0,1.0,0.2,0.2,2.9419642857142856,174,0.42829827915869984,0.9301972685887708,146,0.0,0.6000000000000001,31.0,3.0,10.333333333333334,17.0,0.0,1.0,6.0,6.0,1.0,1.0,0.4,27.0,2.1,21.0,17.333333333333332,7.363636363636363,0.2,9.056462881944444,20.923674187222222,1.116220965,5.0,1.0,0.0,0.6,2.0,False
ABC0174,2.276595744680851,2010-01-02 14:05:23,0.0,8.0,1.0,27.0,0.09574468085106383,0.1,14.418367346938776,682,0.4946543121881682,0.23142250530785563,0,0.7405048360462373,0.4,589.0,187.0,3.1497326203208558,377.0,3.0,24.0,115.0,34.0,36.0,0.0,0.6000000000000001,154.8,12.714285714285714,178.0,43.4,0.0,1.0,9.777576610277778,15.804335585555556,2.4160729875,0.0,83.0,0.0,0.6,2.7,False
AHD0848,1.3274336283185841,2010-01-07 16:25:58,2.0,1.0,1.0,33.0,0.2920353982300885,0.0,1.0162162162162163,142,0.35426731078904994,0.7207446808510638,22,0.0,0.4,199.0,61.0,3.262295081967213,126.0,2.0,10.0,36.0,14.0,11.0,0.05527638190954774,0.6000000000000001,9.5,1.0,4.0,7.642857142857143,1.1111111111111112,0.2,10.794963900277779,19.01252577972222,2.7207055977777777,6.0,55.0,49.0,1.7999999999999998,3.0,False
AHM0410,1.5390625,2010-01-04 12:44:53,0.0,6.0,1.0,22.0,0.0859375,0.1,8.726495726495726,546,0.29803688280785245,0.6304276852758733,0,0.5014691478942214,0.6000000000000001,2198.0,255.0,8.619607843137254,1416.0,7.0,107.0,441.0,104.0,123.0,0.0,0.6000000000000001,89.41666666666667,0.0,0.0,19.75,0.0,0.0,10.478365517222223,17.06998605027778,2.881006925,0.0,6.0,105.0,1.2,2.5,False
AIB0948,8.641618497109826,2010-01-04 07:20:11,0.0,17.0,1.0,3.0,0.008670520231213872,0.1,1.0,146,0.4365942028985507,0.20121951219512196,0,0.5152439024390244,0.4,1669.0,314.0,5.3152866242038215,1065.0,8.0,82.0,346.0,81.0,87.0,0.0,0.6000000000000001,9.583333333333334,1.0,5.0,8.333333333333334,0.0,0.0,9.30201716888889,14.606855030833334,2.5026233533333335,0.0,0.0,120.0,0.8999999999999999,2.0,False
AIP0982,1.525,2010-01-06 16:58:00,0.0,3.0,1.0,25.0,0.10416666666666667,0.0,9.674418604651162,554,0.36926979525276316,0.5600961538461539,0,0.4891826923076923,0.4,6182.0,240.0,25.758333333333333,3960.0,42.0,329.0,1223.0,327.0,301.0,0.0,0.8,94.16666666666667,7.416666666666667,89.0,20.916666666666668,0.0,0.8,9.834571540833332,17.488605005833335,2.4552213033333334,0.0,0.0,18.0,0.8999999999999999,2.9,False
AJD0074,1.271186440677966,2010-01-05 14:19:57,0.0,6.0,1.0,26.0,0.22033898305084745,0.1,9.795336787564766,595,0.4578059071729958,0.5670457550912457,0,0.5083311293308649,0.6000000000000001,515.0,106.0,4.8584905660377355,345.0,2.0,29.0,94.0,30.0,15.0,0.0,0.6000000000000001,108.92857142857143,1.0,4.0,35.285714285714285,0.0,0.0,9.183441111111112,15.384676745277776,2.5638650380555554,0.0,74.0,65.0,1.2,2.5,False
AJF0370,11.423592493297587,2010-01-04 06:26:10,738.0,20.0,642.0,104.0,0.27882037533512066,0.5,10.528150134048257,634,0.5124786854751201,0.5632798573975044,0,0.0,0.6000000000000001,11053.0,373.0,29.632707774798927,7087.0,74.0,595.0,2185.0,543.0,569.0,0.1782321541662897,1.0,110.14285714285714,3.5,42.0,39.92857142857143,0.0,0.4,11.683802444722222,13.601660514444445,6.7453001666666665,785.0,77.0,1117.0,1.7999999999999998,4.3,True
AJH0175,1.3032786885245902,2010-01-13 09:21:10,0.0,1.0,1.0,32.0,0.26229508196721313,0.0,14.465116279069768,756,0.4430023264356557,0.20940514469453375,0,0.0,0.2,236.0,72.0,3.2777777777777777,148.0,3.0,8.0,45.0,21.0,11.0,0.0,0.6000000000000001,145.33333333333334,10.5,126.0,38.666666666666664,11.0,1.2000000000000002,8.727891632222223,14.358037036944445,3.9541904772222223,49.0,0.0,0.0,0.8999999999999999,2.9,False
AJN0607,3.002906976744186,2010-01-04 08:04:17,0.0,5.0,1.0,100.0,0.29069767441860467,0.0,14.556521739130435,812,0.45635546922423215,0.7401433691756273,0,0.0,0.4,820.0,233.0,3.51931330472103,521.0,12.0,41.0,164.0,38.0,44.0,0.0,0.6000000000000001,152.41666666666666,12.181818181818182,134.0,37.416666666666664,0.0,1.0,10.336987594166667,15.986324317500001,2.5974612722222226,0.0,0.0,110.0,0.8999999999999999,2.9,False
AJR0932,6.333333333333333,2010-09-10 04:35:01,18.0,0.0,1.0,0.0,0.0,0.2,8.809278350515465,304,0.3781238681637088,0.0,0,0.0,0.2,47.0,2.0,23.5,34.0,0.0,2.0,9.0,1.0,1.0,0.8297872340425532,0.6000000000000001,87.66666666666667,2.5714285714285716,18.0,34.416666666666664,0.0,0.0,7.3162283638888885,16.1169095475,1.5045914708333334,4.0,0.0,0.0,0.6,1.6,False
AKR0057,2.23963133640553,2010-01-04 11:23:38,0.0,6.0,1.0,19.0,0.08755760368663594,0.1,10.691304347826087,425,0.39462552873849216,0.18137454249694998,19,0.5046766978446523,0.4,540.0,153.0,3.5294117647058822,357.0,4.0,27.0,95.0,21.0,36.0,0.0,0.6000000000000001,109.08333333333333,8.0,80.0,27.916666666666668,1.0,0.8,10.102637894444445,18.905765889166666,2.641183101111111,0.0,0.0,12.0,0.8999999999999999,2.8,False
AMR0318,1.247787610619469,2010-01-11 08:39:08,2.0,1.0,1.0,27.0,0.23893805309734514,0.0,14.375722543352602,736,0.27843866171003717,0.2024527543224769,0,0.0,0.2,230.0,74.0,3.108108108108108,139.0,4.0,12.0,43.0,16.0,16.0,0.0,0.6000000000000001,154.08333333333334,12.727272727272727,140.0,33.5,54.5,1.2000000000000002,9.859063095833333,15.217945788333333,2.948387538611111,19.0,2.0,0.0,1.2,3.2,False
ANM0123,1.5263157894736843,2010-01-04 10:11:24,0.0,1.0,1.0,2.0,0.10526315789473684,0.0,10.8,77,0.535632183908046,0.6814814814814815,15,0.4962962962962963,0.4,47.0,12.0,3.9166666666666665,31.0,0.0,2.0,11.0,1.0,2.0,0.0,0.2,106.33333333333333,5.666666666666667,68.0,31.916666666666668,6.444444444444445,1.0,10.799483333333333,18.420225694444444,3.1642562025000003,0.0,0.0,7.0,0.8999999999999999,2.5,False
AOK0844,1.4854014598540146,2010-01-02 19:03:15,7.0,5.0,1.0,21.0,0.07664233576642336,0.2,1.0,128,0.35760517799352753,0.5702702702702702,42,0.0,0.4,1321.0,259.0,5.100386100386101,841.0,6.0,57.0,262.0,75.0,80.0,0.031037093111279335,0.6000000000000001,9.666666666666666,1.0,1.0,7.888888888888889,1.3076923076923077,0.2,10.794439603611112,18.744610479722223,3.037838014444444,23.0,209.0,38.0,1.7999999999999998,3.2,False
ATE0869,1.25,2010-01-03 13:04:13,0.0,1.0,1.0,41.0,0.24404761904761904,0.0,15.535123966942148,1086,0.4685144663262825,0.6026067296183003,5,0.7410559914882299,0.8,522.0,137.0,3.81021897810219,337.0,2.0,28.0,102.0,26.0,27.0,0.0,0.6000000000000001,147.33333333333334,10.88888888888889,196.0,43.44444444444444,0.0,1.0,9.882000430555555,17.292758693611113,2.665097341388889,10.0,250.0,29.0,1.7999999999999998,4.2,True
ATP0662,1.5634920634920635,2010-01-04 13:47:06,0.0,4.0,1.0,22.0,0.0873015873015873,0.0,13.680965147453083,806,0.46603570144962264,0.7483833039388595,72,0.4879482657260435,0.6000000000000001,1273.0,236.0,5.3940677966101696,827.0,6.0,64.0,248.0,64.0,64.0,0.0,0.6000000000000001,135.0,3.0833333333333335,37.0,38.61538461538461,3.0,0.6000000000000001,11.1884736725,16.652690790833333,3.7560519236111114,68.0,48.0,23.0,1.7999999999999998,3.6,True
AVM0947,8.664739884393063,2010-01-04 07:08:35,0.0,12.0,1.0,3.0,0.008670520231213872,0.1,1.0,136,0.3106457242582897,0.2195845697329377,0,0.0,0.2,7701.0,346.0,22.25722543352601,4901.0,57.0,432.0,1520.0,388.0,403.0,0.0,0.8,8.5,1.5714285714285714,11.0,6.333333333333333,0.0,0.0,7.347648148055556,15.712286666666667,0.8368398747222222,0.0,0.0,29.0,0.6,1.7000000000000002,False
BAJ0654,1.206896551724138,2010-01-04 16:12:26,13.0,1.0,1.0,22.0,0.1896551724137931,0.2,2.9,244,0.3378712871287129,0.5243407707910751,223,0.0,0.6000000000000001,2919.0,116.0,25.163793103448278,1874.0,16.0,152.0,584.0,146.0,147.0,0.1291538198013018,1.0,27.0,1.5,9.0,14.25,5.7272727272727275,0.2,10.272337485555555,20.994141609166665,3.0526243899999996,24.0,0.0,42.0,1.5,3.5,True
BAL0044,3.294460641399417,2010-01-04 05:08:11,685.0,2.0,607.0,80.0,0.23323615160349853,0.4,10.744186046511627,579,0.44565396668316015,0.6542207792207793,0,0.49512987012987014,0.4,2900.0,288.0,10.069444444444445,1870.0,20.0,132.0,547.0,173.0,158.0,0.576551724137931,0.8,112.16666666666667,9.75,117.0,34.25,0.0,1.0,11.252110883333332,13.105895576944445,6.797128906944445,741.0,2.0,1066.0,1.7999999999999998,4.4,True
